from,to,cost
0,0,0.99999994
1,1,0.99999994
2,2,0.2619203
2,4,0.016604256
2,19,0.012575663
2,41,0.0974523
2,72,0.10948488
2,97,0.093574464
2,102,0.050719306
2,151,0.13268885
2,160,0.018520549
2,191,0.01721844
2,226,0.10757795
2,227,0.10587002
2,313,0.02234849
3,3,0.27165267
3,37,0.05502064
3,78,0.054489497
3,87,0.14028497
3,116,0.12135906
3,125,0.072019756
3,136,0.10357702
3,193,0.020384973
3,243,0.110164925
3,244,0.11066708
4,2,0.07475814
4,4,0.22580245
4,19,0.1098842
4,41,0.021432506
4,72,0.031924635
4,97,0.018643964
4,151,0.066915445
4,158,0.15398315
4,170,0.023811376
4,171,0.023553194
4,202,0.09068669
4,204,0.05913879
4,206,0.035788856
4,207,0.020088758
4,226,0.03540917
4,227,0.0342059
4,254,0.08384701
5,5,0.47450867
5,21,0.093925595
5,52,0.03432935
5,66,0.2601481
5,98,0.022086702
5,104,0.10289302
6,4,0.03719866
6,6,0.4284496
6,19,0.029271103
6,20,0.18879785
6,97,0.092773095
6,102,0.045769747
6,158,0.030361403
6,160,0.066255026
6,191,0.029780801
7,7,0.8576194
7,74,0.047432262
7,83,0.060731128
8,8,0.54917735
8,43,0.28093335
8,88,0.22451884
9,9,0.29458696
9,26,0.057558425
9,31,0.15178168
9,55,0.1420971
9,82,0.06729959
9,121,0.1462001
9,131,0.05864543
9,186,0.017034488
9,219,0.15107802
10,10,0.6674712
10,115,0.40701738
11,11,0.367587
11,48,0.05770907
11,60,0.17394678
11,91,0.18309484
11,113,0.14714171
11,173,0.046229273
11,252,0.07846196
12,12,0.56339806
12,74,0.19259778
12,83,0.21613927
13,13,0.2387965
13,153,0.15700151
13,154,0.14833128
13,202,0.057740115
13,204,0.07719284
13,206,0.095754154
13,207,0.110430956
13,209,0.118925184
13,319,0.16717057
14,14,0.54343086
14,45,0.15184066
14,80,0.033589188
14,93,0.1425663
14,251,0.0809129
15,15,0.35811317
15,33,0.03410094
15,81,0.21876545
15,85,0.07563893
15,114,0.09997918
15,123,0.02927969
15,144,0.14012542
15,240,0.090064906
16,10,0.051404458
16,16,0.540298
16,46,0.10496262
16,50,0.3082434
16,115,0.053447176
17,17,0.47346285
17,23,0.05257107
17,49,0.17554283
17,120,0.16248563
17,138,0.044055093
17,320,0.026960563
18,18,0.3580673
18,24,0.09466037
18,56,0.17293401
18,126,0.1777075
18,175,0.0625456
18,176,0.03346978
18,215,0.16917132
19,2,0.08237393
19,4,0.044892997
19,19,0.21731956
19,41,0.026672583
19,72,0.038323645
19,97,0.023494864
19,151,0.0749099
19,158,0.15571292
19,170,0.029821858
19,171,0.029517217
19,191,0.016514905
19,202,0.09926452
19,204,0.06734004
19,206,0.04239307
19,207,0.024759032
19,226,0.041854803
19,227,0.040528357
19,254,0.088769905
20,4,0.06976191
20,19,0.0580661
20,20,0.40626574
20,97,0.088430814
20,102,0.043315474
20,158,0.065203205
20,160,0.10764684
20,190,0.023275862
20,191,0.04250333
20,254,0.022547042
21,21,0.4235274
21,52,0.15908302
21,67,0.04690432
21,69,0.087179236
21,94,0.037320495
21,98,0.13449126
21,112,0.061513405
22,22,0.5700464
22,75,0.056424208
22,287,0.14715771
22,299,0.04078719
22,300,0.021865608
22,305,0.027577449
22,309,0.084362715
23,14,0.10673673
23,23,0.40692922
23,30,0.14957282
23,64,0.14656164
23,138,0.1975981
24,24,0.46273813
24,175,0.21534052
24,176,0.19826317
24,212,0.140194
25,25,0.31071424
25,107,0.1504488
25,187,0.11150892
25,188,0.07168163
25,189,0.023278859
25,220,0.15374203
25,222,0.121087596
25,247,0.042240836
26,2,0.03550205
26,4,0.013181873
26,18,0.027998822
26,26,0.29731208
26,31,0.12913036
26,56,0.06511726
26,68,0.03804499
26,82,0.15128547
26,121,0.1333218
26,126,0.053904355
26,151,0.029220426
26,217,0.05343051
27,27,0.52265507
27,156,0.3032584
27,291,0.29599887
28,3,0.07145839
28,28,0.15554352
28,42,0.0738692
28,59,0.073517635
28,65,0.07786805
28,87,0.06688261
28,116,0.045108195
28,125,0.012889719
28,136,0.02480185
28,152,0.07516504
28,161,0.08493673
28,162,0.071542054
28,163,0.07179449
28,242,0.07789446
28,243,0.03187448
28,244,0.032158688
28,256,0.078147575
29,29,0.3516809
29,71,0.17528854
29,129,0.0881585
29,143,0.15490322
29,239,0.07231353
29,286,0.047053836
29,290,0.03961546
29,296,0.016629495
29,298,0.05477631
30,14,0.24699861
30,30,0.50568736
30,45,0.10012229
30,93,0.089799725
30,251,0.04467653
31,26,0.12913036
31,31,0.43100876
31,82,0.14259169
31,121,0.21360101
31,217,0.018026168
32,32,0.57392615
32,85,0.15765662
32,114,0.11991572
32,144,0.06782677
33,7,0.025703864
33,33,0.27146053
33,62,0.08073833
33,94,0.09918354
33,96,0.07319382
33,101,0.023026941
33,106,0.055825192
33,108,0.15158367
33,123,0.15795097
33,127,0.12810223
33,228,0.07791114
33,238,0.04330484
34,34,0.42603287
34,128,0.101828896
34,141,0.04372748
34,145,0.02230766
34,235,0.020793954
34,236,0.038898386
34,237,0.22910133
34,312,0.109264515
35,29,0.056388985
35,35,0.46713427
35,71,0.08322826
35,129,0.24167125
35,143,0.14014192
36,25,0.029251905
36,36,0.4054644
36,40,0.06694843
36,54,0.10481331
36,107,0.023679992
36,186,0.0820643
36,218,0.042182576
36,246,0.114026286
37,37,0.40613976
37,78,0.20280991
37,193,0.17615701
37,314,0.09516956
37,315,0.030136291
