from,to,cost
2,1,0.7174379
4,3,0.62646437
5,3,0.8948124
5,4,0.36143157
12,4,0.484031
13,0,0.26093593
15,6,0.19214275
16,5,0.11012548
16,6,0.14501294
17,4,0.106083035
17,12,0.43658623
20,19,0.6738117
21,18,0.47969776
22,19,0.41202542
22,20,0.9064865
27,1,0.17942527
27,2,0.5831709
27,7,0.35833457
28,7,0.95091635
28,11,0.23940924
28,27,0.2331284
29,16,0.26761228
32,19,0.4695517
33,3,0.1198716
33,5,0.20515546
33,6,0.40872863
33,16,0.37899297
34,14,0.2857625
36,0,0.5190026
37,24,0.41250598
38,3,0.27717918
38,5,0.5278345
38,6,0.31814024
38,15,0.17690822
38,16,0.46778366
38,33,0.15883723
39,20,0.2273634
39,22,0.44188908
40,10,0.19475225
42,24,0.8821203
44,11,0.20059502
48,5,0.21667837
48,6,0.21074139
48,16,0.7132087
48,30,0.21647105
48,38,0.82599187
50,18,0.3908088
50,21,0.9874965
50,35,0.32663393
51,13,0.12607008
53,13,0.17052375
54,24,0.47890255
54,37,0.99314165
54,42,0.7757892
55,11,0.6636685
55,27,0.23901075
55,45,0.1467358
56,30,0.2115769
56,48,0.2311745
57,20,0.30206904
57,22,0.5435545
58,0,0.1077905
58,13,0.8948355
58,37,0.17982598
58,54,0.14370747
59,8,0.84605294
59,14,0.3860151
62,13,0.63279414
62,58,0.8889529
63,60,0.999832
64,29,0.602874
64,30,0.24853526
64,48,0.19519594
65,64,0.25346792
66,55,0.19637613
67,0,0.30040926
67,36,0.9210419
68,19,0.14826754
68,20,0.56708425
68,22,0.82411593
68,32,0.2150856
69,47,0.92854387
69,52,0.19269718
69,60,0.44377577
69,63,0.45425364
70,22,0.15937144
70,68,0.43262577
71,10,0.50648516
72,69,0.19680302
73,10,0.2179458
73,70,0.35819414
73,72,0.19346362
74,22,0.15828772
74,68,0.41675094
74,71,0.3748728
74,72,0.12749416
75,60,0.9405194
75,63,0.94643486
76,52,0.20229195
76,60,0.40321037
76,63,0.41325727
77,9,0.75136745
77,43,0.74553746
77,76,0.26246002
78,1,0.38116264
78,49,0.67836165
79,1,0.35098562
79,2,0.81898606
79,49,0.16088082
79,78,0.58797765
80,12,0.47680527
81,9,0.4552221
81,43,0.2682548
81,76,0.32931376
81,77,0.28162268
82,9,0.104238935
82,60,0.20308457
82,63,0.20982692
82,76,0.90721065
82,81,0.68378377
83,10,0.12863071
83,31,0.5474324
83,40,0.13426682
84,9,0.6358411
84,43,0.6296465
84,76,0.18701604
84,77,0.98106843
84,82,0.38069925
85,2,0.3976668
85,7,0.45954213
85,27,0.9502539
85,28,0.14739758
85,78,0.21374731
85,79,0.76831377
87,41,0.27081022
88,9,0.30829525
88,34,0.28052002
88,43,0.30347764
88,77,0.73892057
88,82,0.16367497
88,84,0.84120727
89,14,0.11135862
89,34,0.87697536
89,77,0.10891548
89,84,0.15953864
89,88,0.41415954
90,83,0.37570655
91,3,0.30217132
91,5,0.5607428
91,6,0.5209551
91,15,0.19562104
91,16,0.3827285
91,33,0.16853137
92,46,0.44814855
93,5,0.19761977
93,6,0.848269
93,16,0.2577186
93,91,0.76516414
94,19,0.9634936
94,20,0.21719716
94,22,0.42709333
94,39,0.7728496
94,57,0.6719435
94,74,0.47097415
95,25,0.4190165
96,19,0.1946944
96,94,0.30728692
97,19,0.44396153
97,39,0.2280064
97,57,0.16653858
97,94,0.60559547
97,96,0.39890882
98,19,0.279762
98,20,0.7786275
98,22,0.9656762
98,32,0.37772286
98,39,0.12451899
98,96,0.20225239
100,41,0.44396153
100,43,0.15324192
101,1,0.12004735
101,30,0.20637678
101,48,0.18793583
101,49,0.41774708
102,20,0.22953296
102,22,0.4450146
102,67,0.10472499
102,68,0.80933076
102,71,0.40872863
102,72,0.14463905
102,98,0.6015465
103,20,0.36219373
103,22,0.6174097
103,32,0.1072314
103,68,0.93723524
103,98,0.77291036
104,34,0.58897245
104,88,0.18253812
104,89,0.8751505
105,11,0.42596605
105,27,0.11192149
105,55,0.92279136
105,85,0.20758292
105,92,0.1836273
106,7,0.10238393
106,27,0.48243648
106,79,0.27186537
106,85,0.67427033
108,2,0.16533388
108,7,0.20284656
108,27,0.6916639
108,79,0.44914317
