from,to,cost
0,0,0.34019113
0,13,0.039920714
0,37,0.08348497
0,42,0.02410828
0,54,0.07015058
0,111,0.039144676
0,116,0.083774805
0,125,0.022322835
0,140,0.021134935
0,142,0.11256503
0,145,0.14148067
0,199,0.022688141
1,1,0.41601694
1,2,0.074211515
1,7,0.06787657
1,28,0.10792208
1,78,0.04170824
1,107,0.04211382
1,177,0.21211684
1,183,0.047845162
2,1,0.13618474
2,2,0.34644732
2,28,0.029924672
2,49,0.10201905
2,78,0.1681349
2,123,0.055611107
2,129,0.03606857
2,177,0.10093082
2,183,0.16074903
3,3,0.27213985
3,4,0.08519316
3,12,0.015991105
3,15,0.08477808
3,17,0.10324358
3,33,0.038889352
3,80,0.06956204
3,144,0.029168582
3,161,0.021028562
3,188,0.036273856
3,191,0.063757494
3,192,0.13126193
3,193,0.020891743
3,195,0.046407215
4,3,0.08421754
4,4,0.26563188
4,6,0.026169261
4,15,0.15759292
4,16,0.015964014
4,17,0.045630094
4,33,0.1141911
4,80,0.023452975
4,91,0.014081123
4,93,0.057979148
4,136,0.021783287
4,138,0.03224421
4,144,0.10298791
4,191,0.02001325
4,192,0.07944016
4,195,0.01315725
5,3,0.12494761
5,4,0.04986158
5,5,0.28658915
5,15,0.12747906
5,17,0.06579989
5,33,0.0711067
5,80,0.03705479
5,93,0.02377625
5,144,0.057705767
5,188,0.015420399
5,191,0.03239281
5,192,0.10302651
5,195,0.022041878
6,6,0.56419575
6,16,0.02122841
6,91,0.08246778
6,93,0.039325286
6,124,0.077620424
6,136,0.03387822
6,174,0.13775378
7,7,0.2905643
7,11,0.06899321
7,27,0.065514185
7,45,0.038233176
7,79,0.03647644
7,85,0.09487515
7,92,0.039442115
7,107,0.18801004
7,108,0.061287064
7,110,0.023031494
7,132,0.03999929
7,153,0.11554985
7,179,0.112349056
7,201,0.080520034
8,8,0.40746453
8,14,0.14343566
8,84,0.023647072
8,88,0.06704601
8,151,0.11069957
8,185,0.21850353
8,186,0.03203679
9,9,0.6768794
9,43,0.11078557
9,82,0.05906366
9,104,0.035085
9,146,0.06587951
10,10,0.50136995
10,31,0.15804745
10,122,0.037281398
10,156,0.2231517
10,176,0.08726404
11,11,0.43227762
11,46,0.06204822
11,55,0.1103287
11,92,0.25755572
11,106,0.0705843
11,108,0.03988904
11,132,0.023333697
11,171,0.027734071
11,179,0.037082434
12,4,0.06408233
12,12,0.26394293
12,15,0.060910247
12,17,0.05598483
12,33,0.024796268
12,80,0.088921584
12,144,0.017721739
12,161,0.035622
12,162,0.02025561
12,188,0.056411143
12,191,0.10396361
12,192,0.039669916
12,193,0.12579317
12,195,0.063106626
13,0,0.046849083
13,13,0.3790281
13,37,0.06674383
13,54,0.054664005
13,111,0.02757483
13,116,0.09323101
13,140,0.02426478
13,142,0.097237706
13,143,0.1837422
13,199,0.026013127
14,14,0.3839759
14,77,0.06487113
14,84,0.08320188
14,88,0.14721924
14,89,0.048207797
14,130,0.035151925
14,146,0.03373829
14,151,0.18198234
15,6,0.04488466
15,15,0.38688153
15,16,0.027661111
15,33,0.15307717
15,91,0.024759285
15,93,0.08947131
15,136,0.037065323
15,138,0.05276973
15,144,0.1430615
16,5,0.015108919
16,6,0.027914986
16,16,0.26271898
16,23,0.028559702
16,30,0.13412902
16,38,0.08699827
16,48,0.047519658
16,64,0.02352684
16,65,0.03664279
16,91,0.02136923
16,93,0.024239179
16,101,0.06083566
16,133,0.037509613
16,134,0.022019574
16,136,0.017417528
16,138,0.024538787
16,165,0.03742993
16,166,0.1362858
16,196,0.132487
17,4,0.014604718
17,12,0.05991454
17,17,0.28541338
17,80,0.1290901
17,154,0.014826922
17,157,0.028662832
17,160,0.020979129
17,161,0.0700258
17,162,0.046760444
17,188,0.09750733
17,191,0.03578599
17,193,0.061833918
17,195,0.10399059
18,18,0.6171081
18,35,0.34657717
18,189,0.07860186
19,19,0.30146065
19,20,0.051292494
19,22,0.10610957
19,39,0.13517816
19,57,0.14497143
19,68,0.027023973
19,74,0.09942911
19,96,0.030728696
19,103,0.017665964
19,119,0.07363122
19,175,0.05371833
20,19,0.10253457
20,20,0.30725074
20,22,0.16533007
20,32,0.122410946
20,39,0.06191681
20,57,0.056893043
20,74,0.028962327
20,96,0.08561594
20,119,0.017956471
20,127,0.026462419
20,155,0.016093858
20,206,0.033196025
21,18,0.14142404
21,21,0.563391
21,35,0.13649333
21,200,0.23329753
22,19,0.07443605
22,20,0.16533007
22,22,0.43306
22,32,0.09712437
22,39,0.03690061
22,57,0.03139192
22,96,0.057086915
22,206,0.016918303
23,23,0.5309702
23,124,0.03949113
23,165,0.2671687
23,174,0.19441096
24,24,0.34047222
24,53,0.09354922
24,58,0.028944053
24,62,0.0679021
24,95,0.034115836
